1	263	259	170
2	253	243	210
3	233.5	251	220
4	231	277.5	170
5	189	276	210
6	185	283	250
7	167	262	240
8	288	268	140
9	183	242	210
10	132	225	160
11	288.5	273	110
12	69	216	240
13	75	170	220
14	130	192	250
15	140	235	210
16	187	228	260
17	265	235	250
18	282	271	190
19	268	274	180
20	294	294	190
21	101	177	140
22	84	171	140
23	75	165	240
24	62	190	110
25	77	200	160
26	106	201	120
27	100.5	206	80
28	93	228	130
29	96	237	140
30	164	267	210
31	165	251	160
32	176	255	150
33	177	250	140
34	178	242.5	170
35	186	239	140
36	186	234	110
37	181	235	10
38	221	230	120
39	221	233	140
40	238.5	230.5	170
41	261	227.5	140
42	298	281	110
43	261	243	170
44	294.5	283	90
45	192	242	140
46	288	285	100
47	175	272	160
48	165	274	140
49	192	272	120
50	195	282	110
51	198.5	280.5	80
52	201	277	60
53	198	269	140
54	220	263	90
55	221	253	100
56	204	274	50
57	213	282.5	80
58	207	287	110
59	201	282	90
60	219	288	70
61	185	295	60
62	231	281	120
63	241	275	140
64	242	266	80
65	245	261	70
66	248	262	80
67	295	280	90
68	255	260	90
69	260	255	110
70	258	250	90
71	265	251	110
72	291	285	140
73	272	254	90
74	268.5	256	110
75	255.5	264.5	80
76	255	268	110
77	259	270	80
78	267	264	80
79	284	276	90
80	274	272	80
