1	51
1	75
2	44
3	65
3	67
4	39
4	66
5	49
5	50
6	59
7	32
7	47
8	9
8	47
9	35
10	34
11	3
11	26
12	25
14	21
15	7
15	31
16	14
16	38
17	40
17	53
17	56
18	67
18	73
19	77
20	66
21	22
22	4
23	13
24	13
24	25
25	11
26	10
26	27
27	12
28	15
28	77
29	30
30	7
30	48
31	32
31	34
32	33
33	8
33	34
34	9
35	45
36	16
36	35
36	37
36	80
37	7
38	39
38	41
39	40
40	2
41	17
41	80
42	43
43	2
43	72
44	3
45	46
46	8
46	55
47	5
47	6
47	48
48	61
49	50
49	53
50	51
51	52
51	59
52	56
53	52
53	54
54	55
54	63
55	5
56	57
57	4
57	58
57	60
58	59
60	62
61	60
62	4
62	75
63	64
64	65
64	76
65	66
66	67
66	76
67	44
67	68
68	69
68	75
69	8
69	70
69	71
70	2
70	43
71	72
71	74
72	73
73	18
73	74
74	1
74	80
75	76
76	77
77	19
77	78
78	79
79	80
